id,evidence_quality,evidence_quality_raw,evidence_quality_source,evidence_quality_reason,context_hit,token_confidence
12046,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12047,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12048,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12049,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12050,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12051,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12052,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12053,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12054,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12055,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12056,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12057,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12058,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12059,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12060,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12061,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12062,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12063,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12064,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12065,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12066,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12067,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12068,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12069,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12070,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12071,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12072,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12073,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12074,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12075,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12076,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12077,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12078,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12079,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12080,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12081,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12082,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12083,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12084,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12085,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12086,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12087,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12088,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12089,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12090,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12091,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12092,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12093,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12094,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12095,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12096,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12097,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12098,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12099,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12100,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12101,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12102,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12103,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12104,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12105,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12106,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12107,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12108,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12109,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12110,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12111,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12112,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12113,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12114,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12115,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12116,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12117,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12118,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12119,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12120,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12121,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12122,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12123,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12124,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12125,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12126,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12127,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12128,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12129,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12130,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12131,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12132,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12133,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12134,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12135,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12136,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12137,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12138,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12139,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12140,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12141,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12142,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12143,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12144,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12145,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12146,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12147,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12148,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12149,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12150,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12151,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12152,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12153,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12154,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12155,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12156,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12157,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12158,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12159,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12160,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12161,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12162,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12163,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12164,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12165,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12166,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12167,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12168,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12169,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12170,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12171,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12172,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12173,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12174,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12175,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12176,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12177,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12178,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12179,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12180,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12181,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12182,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12183,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12184,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12185,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12186,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12187,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12188,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12189,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12190,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12191,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12192,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12193,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12194,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12195,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12196,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12197,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12198,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12199,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12200,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12201,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12202,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12203,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12204,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12205,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12206,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12207,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12208,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12209,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12210,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12211,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12212,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12213,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12214,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12215,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12216,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12217,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12218,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12219,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12220,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12221,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12222,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12223,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12224,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12225,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12226,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12227,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12228,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12229,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12230,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12231,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12232,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12233,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12234,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12235,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12236,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12237,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12238,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12239,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12240,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12241,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12242,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12243,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12244,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12245,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12246,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12247,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12248,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12249,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12250,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12251,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12252,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12253,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12254,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12255,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12256,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12257,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12258,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12259,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12260,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12261,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12262,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12263,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12264,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12265,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12266,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12267,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12268,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12269,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12270,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12271,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12272,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12273,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12274,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12275,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12276,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12277,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12278,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12279,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12280,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12281,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12282,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12283,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12284,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12285,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12286,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12287,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12288,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12289,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12290,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12291,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12292,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12293,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12294,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12295,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12296,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12297,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12298,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12299,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12300,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12301,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12302,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12303,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12304,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12305,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12306,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12307,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12308,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12309,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12310,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12311,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12312,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12313,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12314,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12315,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12316,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12317,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12318,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12319,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12320,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12321,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12322,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12323,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12324,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12325,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12326,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12327,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12328,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12329,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12330,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12331,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12332,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12333,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12334,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12335,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12336,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12337,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12338,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12339,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12340,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12341,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12342,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12343,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12344,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12345,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12346,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12347,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12348,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12349,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12350,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12351,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12352,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12353,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12354,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12355,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12356,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12357,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12358,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12359,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12360,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12361,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12362,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12363,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12364,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12365,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12366,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12367,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12368,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12369,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12370,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12371,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12372,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12373,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12374,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12375,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12376,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12377,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12378,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12379,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12380,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12381,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12382,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12383,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12384,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12385,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12386,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12387,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12388,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12389,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12390,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12391,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12392,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12393,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12394,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12395,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12396,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12397,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12398,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12399,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12400,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12401,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12402,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12403,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12404,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12405,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12406,Not Clear,Not Clear,codex,normalized_label|ctx=data_only,data_only,
12407,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
12408,Clear,Clear,codex,normalized_label|ctx=data_only,data_only,
